student_name,branch,sem1_sub1_mark,sem1_sub2_mark,sem1_sub3_mark,sem1_sub4_mark,sem2_sub1_mark,sem2_sub2_mark,sem2_sub3_mark,sem2_sub4_mark,sem3_sub1_mark,sem3_sub2_mark,sem3_sub3_mark,sem3_sub4_mark,sem4_sub1_mark,sem4_sub2_mark,sem4_sub3_mark,sem4_sub4_mark,club_hours
Rahul Sharma,EEE,22,3,1,28,8,16,31,3,12,23,44,46,6,40,41,36,55
Rohan Singh,CIVIL,56,53,80,55,65,95,81,71,86,69,76,80,98,87,69,67,95
Samarth Bansal,ECE,77,100,60,83,73,91,68,83,52,68,97,84,91,77,92,99,95
Shreyas Agarwal,CIVIL,56,57,71,76,98,59,63,96,51,69,68,51,100,72,90,56,97
Vikram Bansal,CIVIL,70,84,66,89,92,89,55,83,63,67,100,96,96,68,55,66,91
Abhinav Mehra,CIVIL,68,66,78,86,95,78,63,88,75,73,95,68,76,61,53,91,91
Kabir Saxena,ECE,59,86,59,98,65,90,63,87,52,72,65,64,91,92,65,93,81
Arjun Varma,EEE,10,22,0,37,41,20,49,21,21,31,29,25,41,40,28,17,74
Nikhil Gupta,CSE,67,60,83,64,50,55,98,62,53,83,96,55,85,91,77,54,81
Arjun Varma,ECE,77,96,90,62,98,69,50,68,88,84,98,68,53,95,86,65,92
Aarav Bansal,EEE,95,65,84,66,67,74,78,94,58,80,68,50,86,97,66,82,99
Ansh Sinha,CIVIL,56,95,70,88,77,83,89,58,92,91,73,89,94,87,58,65,92
Utkarsh Saxena,CIVIL,97,71,81,70,59,94,83,62,70,75,92,86,82,72,72,57,87
Vikram Gupta,CSE,72,82,97,90,83,78,86,87,96,77,84,75,90,98,62,92,93
Anirudh Chopra,EEE,1,42,37,14,26,38,12,24,17,40,27,10,24,3,34,24,3
Harsh Kapoor,AIDS,97,98,61,81,57,85,69,92,85,56,78,73,100,98,71,96,96
Raj Reddy,CIVIL,53,92,61,96,78,54,69,71,55,58,90,74,57,57,78,100,80
Shivam Singh,EEE,100,68,76,95,50,57,96,64,92,83,59,51,67,94,51,100,87
Ayush Saxena,ECE,89,74,89,93,63,67,80,63,83,79,75,52,100,56,66,59,92
Siddharth Saxena,ECE,74,68,75,63,77,52,72,55,53,93,93,80,85,55,88,50,81
Ansh Agarwal,EEE,52,53,100,74,53,68,63,64,63,55,86,92,84,96,52,60,85
Rahul Verma,ECE,8,37,10,34,47,13,32,1,19,7,36,35,28,10,25,10,74
Kabir Jha,CSE,58,91,78,96,52,59,62,70,81,89,59,81,95,66,76,62,84
Yash Sinha,ECE,99,65,55,99,86,51,62,77,85,100,74,94,78,66,75,84,97
Sahil Agarwal,EEE,50,99,62,84,94,99,60,91,62,100,55,61,93,80,56,99,88
Anirudh Sinha,CIVIL,82,65,82,64,87,90,69,50,86,66,99,73,96,95,93,59,87
Samarth Varma,CSE,71,89,76,58,63,52,100,100,53,70,73,85,70,77,79,70,92
Samarth Agarwal,ECE,63,57,97,77,75,82,65,63,76,82,87,88,68,73,61,68,88
Atharva Reddy,ECE,18,45,9,45,16,1,2,34,5,9,42,29,19,23,27,49,38
Advait Varma,AIDS,68,93,63,71,69,73,89,78,62,83,92,81,89,89,51,87,92
Arjun Sinha,MECH,90,96,78,66,76,59,99,53,95,95,90,82,66,74,88,67,99
Krish Patel,ECE,92,92,54,65,79,66,57,95,59,53,87,94,99,69,98,78,92
Utkarsh Deshmukh,MECH,66,94,88,63,63,62,69,62,62,63,79,59,72,64,68,80,82
Anirudh Kapoor,CSE,75,73,71,94,66,91,79,99,89,78,53,65,62,87,93,91,84
Mohit Jha,AIDS,56,99,84,55,85,65,87,69,50,93,58,58,68,72,95,93,86
Rahul Tiwari,CIVIL,21,0,5,12,25,33,7,11,35,43,36,19,47,22,22,25,7
Aryan Jha,ECE,95,65,99,98,57,56,98,82,97,85,72,73,66,82,62,89,86
Ishaan Agarwal,ECE,78,87,74,58,55,84,94,98,98,85,98,95,60,98,68,78,81
Vedant Tiwari,AIDS,62,57,73,57,89,71,74,51,54,76,56,84,52,100,90,66,86
Shreyas Singh,AIDS,83,97,52,79,87,68,70,53,65,69,72,51,88,66,66,99,80
Karan Chopra,CIVIL,92,96,80,56,95,94,96,55,78,87,56,61,64,98,52,78,81
Aman Deshmukh,MECH,87,65,53,62,96,81,69,74,81,89,88,89,90,58,58,56,95
Tanish Deshmukh,EEE,10,21,22,13,31,5,22,40,1,32,17,39,2,4,32,31,8
Rahul Saxena,CIVIL,75,69,73,51,57,74,91,65,99,76,58,95,61,61,85,86,98
Yash Sinha,CIVIL,59,77,50,79,56,96,58,61,92,95,67,90,51,65,86,55,98
Mayank Sharma,ECE,68,63,71,92,77,94,81,66,93,90,80,83,93,100,95,82,83
Dhruv Jha,AIDS,67,72,78,90,84,71,97,58,73,82,56,50,97,52,59,75,95
Raj Patel,AIDS,70,87,91,88,73,75,64,67,64,93,80,50,88,65,73,91,80
Manav Singh,EEE,94,80,52,70,89,81,63,60,67,74,96,80,87,62,87,74,88
Abhinav Patel,CIVIL,37,8,26,14,15,8,3,15,26,32,17,7,5,11,4,44,7
Rohan Agarwal,CIVIL,69,80,94,100,74,71,52,60,64,93,91,50,81,77,75,80,92
Advait Mehra,EEE,51,94,70,68,64,94,52,97,84,60,50,72,74,76,94,54,98
Ansh Saxena,CIVIL,75,58,71,96,69,92,72,89,72,80,62,77,74,58,78,77,82
Divyansh Chopra,ECE,94,79,60,93,100,52,64,88,51,100,58,59,88,57,57,62,98
Ankur Gupta,EEE,50,85,99,55,73,90,93,69,59,61,83,98,53,86,61,86,83
Yash Kapoor,EEE,90,94,75,55,55,69,73,64,72,82,68,98,56,78,72,64,85
Nikhil Jha,MECH,43,35,11,27,18,49,24,9,13,36,45,15,28,22,49,31,22
Krish Sinha,CIVIL,55,97,96,62,60,83,82,60,96,88,88,67,95,83,99,73,83
Shivam Reddy,CIVIL,64,82,94,77,83,58,50,55,75,97,69,95,89,77,65,81,83
Harsh Saxena,CIVIL,99,56,73,89,94,78,86,79,56,91,67,78,86,83,71,55,80
Krish Saxena,AIDS,72,84,62,95,82,85,96,65,64,95,82,92,90,76,57,81,100
Aman Kapoor,ECE,60,51,53,74,80,94,62,60,55,77,99,79,97,65,70,96,89
Anish Patel,CIVIL,91,58,99,73,99,65,92,67,99,85,60,76,79,95,68,72,84
Rohan Kapoor,ECE,19,41,30,7,36,33,37,2,23,49,35,35,43,22,17,43,47
Mayank Yadav,EEE,97,99,98,86,73,59,83,86,62,78,74,99,94,83,99,95,95
Sahil Bansal,CSE,87,50,87,60,63,72,60,69,83,72,86,81,79,75,59,76,95
Vikram Varma,CSE,75,62,82,54,69,64,70,63,83,77,77,61,99,57,67,53,94
Mayank Patel,MECH,94,58,59,93,85,59,81,56,65,83,67,77,86,89,59,65,83
Rohan Jha,CIVIL,84,59,98,65,67,96,81,100,84,94,61,100,91,92,85,75,89
Anirudh Deshmukh,MECH,88,96,73,81,60,68,70,73,100,74,84,92,56,66,86,93,87
Utkarsh Mehra,CIVIL,2,34,34,14,1,28,25,42,28,9,39,34,12,0,18,11,56
Shreyas Sinha,EEE,59,89,75,64,95,70,97,59,86,77,83,70,59,63,98,75,84
Mayank Sinha,CIVIL,98,62,92,68,68,75,89,98,77,95,86,58,52,91,69,68,99
Nikhil Tiwari,MECH,82,59,58,89,77,82,94,82,52,62,95,59,68,57,92,78,90
Akhil Sharma,CSE,75,54,91,86,82,59,67,83,55,85,62,69,90,90,73,60,81
Rishi Verma,CIVIL,57,73,94,75,78,52,58,99,89,58,96,79,65,88,93,68,87
Raj Singh,CSE,64,65,66,69,93,92,98,87,89,85,76,80,85,65,59,52,86
Mayank Reddy,CIVIL,37,30,21,48,22,20,0,14,20,28,8,40,28,11,10,5,46
Krish Verma,AIDS,74,62,76,57,75,53,77,79,90,84,50,89,76,67,94,100,98
Aditya Deshmukh,AIDS,90,59,80,96,52,67,59,54,98,96,70,56,82,62,58,95,100
Manav Patel,CIVIL,94,85,89,73,69,89,84,51,50,76,91,51,98,66,56,78,98
Advait Sharma,EEE,89,53,63,93,77,100,60,69,78,74,58,68,53,90,82,57,100
Yash Tiwari,AIDS,100,90,54,61,93,71,55,56,67,60,99,100,75,94,61,75,100
Arjun Yadav,CIVIL,95,72,79,51,56,85,71,52,66,54,65,59,52,75,84,91,85
Utkarsh Agarwal,MECH,31,49,31,29,22,20,9,17,32,24,23,23,42,44,29,20,43
Rahul Mehra,EEE,91,75,84,51,97,89,53,93,52,79,98,91,64,64,82,51,98
Aryan Reddy,CSE,95,88,69,51,91,93,63,88,57,54,100,97,73,65,85,73,100
Advait Chopra,AIDS,71,97,98,62,61,98,62,75,62,84,88,50,63,50,76,55,94
Aman Bansal,CIVIL,85,61,71,95,55,95,57,95,90,75,76,62,70,51,79,59,94
Rohan Sharma,EEE,68,67,58,93,79,74,55,84,97,95,91,65,84,99,61,85,81
Sahil Patel,EEE,98,99,72,74,71,62,85,75,80,59,83,84,71,70,86,100,88
Raj Sharma,CIVIL,49,13,26,41,35,15,20,5,47,33,38,25,12,48,5,46,70
Ankur Reddy,CSE,97,71,80,67,72,62,50,59,94,95,96,58,75,70,67,95,89
Krish Reddy,AIDS,55,62,63,50,96,58,78,50,100,62,91,73,78,95,64,78,88
Yash Gupta,ECE,86,64,75,78,77,68,90,83,74,58,58,50,71,76,54,94,82
Mohit Gupta,CSE,61,85,74,75,72,93,62,60,73,95,73,66,62,72,95,97,97
Aman Jha,CIVIL,87,65,89,87,81,55,58,72,64,55,56,64,99,66,72,58,97
Advait Yadav,AIDS,78,92,55,61,97,84,71,97,100,56,51,59,80,52,94,60,81
Dhruv Deshmukh,CSE,10,42,23,27,24,31,48,48,49,49,7,23,9,39,34,21,42
Utkarsh Sharma,AIDS,72,52,65,53,75,91,86,88,92,79,72,62,74,90,73,60,90
Shivam Verma,MECH,51,61,74,60,50,96,87,96,69,60,84,63,72,74,70,77,86
Arjun Yadav,EEE,54,90,55,57,90,89,86,90,68,79,82,100,56,57,83,60,97
Shreyas Sinha,MECH,81,66,66,88,54,82,70,71,50,50,81,69,100,77,72,59,92
Arjun Singh,ECE,76,75,53,90,81,71,69,91,66,97,64,59,68,92,58,85,88
Krish Verma,CIVIL,94,50,69,72,78,89,59,62,73,51,82,91,84,89,70,100,89
Ankur Sharma,AIDS,6,11,46,25,34,19,4,20,39,25,9,16,28,44,42,9,57
Aniket Agarwal,AIDS,72,70,79,54,83,87,94,95,64,89,74,52,81,81,99,58,87
Mohit Sharma,AIDS,65,87,99,96,63,72,96,86,92,87,66,96,55,81,69,64,94
Ayush Sharma,ECE,70,77,55,79,56,99,96,69,74,62,99,55,86,77,91,98,91
Aniket Sinha,EEE,81,65,93,79,53,64,73,97,90,61,66,82,81,98,53,84,93
Pranav Sharma,MECH,83,89,57,52,65,67,86,56,59,63,54,73,87,87,91,96,86
Akhil Deshmukh,CIVIL,87,68,61,67,53,86,83,66,86,100,100,60,82,70,67,82,92
Samarth Saxena,EEE,13,16,27,6,25,16,2,16,13,12,40,4,20,48,34,35,10
Ishaan Singh,CSE,69,74,100,58,93,83,86,64,85,89,51,53,96,50,65,61,100
Rishi Sinha,CSE,64,76,88,91,89,50,80,86,85,52,77,86,80,85,80,85,98
Rahul Saxena,EEE,76,71,70,51,74,53,54,65,76,71,67,95,60,80,85,82,81
Divyansh Jha,MECH,51,86,56,65,88,87,81,50,67,61,99,55,73,73,61,78,94
Anirudh Sinha,EEE,88,50,88,62,65,91,87,94,93,59,57,58,84,65,66,63,99
Aryan Deshmukh,MECH,51,85,93,50,71,97,81,65,82,96,81,90,50,63,60,60,87
Sahil Agarwal,CIVIL,16,25,24,19,31,12,46,10,6,0,32,49,41,28,0,34,67
Raj Yadav,AIDS,94,72,93,74,55,53,79,69,100,76,91,50,88,73,99,79,80
Mayank Jha,ECE,73,96,99,84,84,56,80,77,92,78,67,96,64,59,95,78,83
Aditya Varma,MECH,94,87,76,83,77,50,51,57,69,93,87,62,91,83,100,61,88
Atharva Verma,CIVIL,60,65,93,58,68,70,50,61,63,63,54,96,67,74,67,76,86
Karan Sinha,ECE,73,67,80,63,93,87,89,57,100,93,64,79,81,95,91,97,85
Vedant Bansal,MECH,78,54,94,53,62,80,66,69,53,65,82,66,85,99,93,58,99
Pranav Saxena,CIVIL,34,11,19,18,18,42,18,27,15,8,39,48,1,22,31,19,41
Nikhil Bansal,ECE,66,92,83,95,54,73,94,70,92,93,56,52,76,84,81,98,87
Aditya Varma,CSE,86,61,52,89,50,75,96,91,93,83,56,83,93,94,53,71,98
Arjun Saxena,ECE,87,75,64,73,94,95,92,72,75,96,91,65,91,86,95,60,83
Aarav Yadav,AIDS,64,61,72,50,64,82,96,51,79,85,62,85,100,55,56,89,98
Aman Agarwal,ECE,52,58,75,85,87,72,87,63,99,57,65,68,72,63,98,83,90
Rishi Mehra,AIDS,96,77,81,72,65,70,91,54,55,78,52,82,97,58,85,53,83
Kabir Sinha,ECE,12,42,27,18,2,41,0,19,6,1,29,25,8,24,37,47,23
Aryan Tiwari,CIVIL,78,88,58,92,67,61,59,100,80,99,59,79,87,98,70,60,90
Pranav Kapoor,CSE,72,57,58,51,92,65,68,100,69,88,61,94,90,68,87,59,87
Nikhil Jha,EEE,95,75,51,55,54,84,60,95,68,77,82,77,62,71,55,89,90
Atharva Sharma,EEE,99,64,56,74,99,81,51,52,53,89,100,69,88,89,53,74,84
Aryan Chopra,ECE,88,58,62,88,57,72,70,71,63,51,52,99,64,80,70,86,95
Samarth Tiwari,ECE,89,95,74,86,65,100,99,58,92,96,55,88,50,74,69,76,93
Karan Agarwal,EEE,34,9,44,14,13,31,49,43,7,12,40,48,13,3,36,35,34
Akhil Agarwal,CIVIL,57,75,69,89,59,70,68,74,72,66,72,96,61,69,65,92,88
Manav Chopra,EEE,77,56,94,94,88,96,98,72,98,56,69,92,85,78,66,50,99
Advait Jha,CIVIL,91,75,93,92,66,75,68,59,91,74,75,75,50,51,75,61,87
Ishaan Kapoor,AIDS,66,64,77,91,69,78,96,89,99,66,55,82,77,78,96,62,82
Yash Reddy,ECE,69,84,68,60,75,58,52,75,92,78,57,83,80,56,63,77,84
Sahil Singh,EEE,68,66,92,69,71,82,66,97,60,60,92,99,58,63,61,65,92
Advait Agarwal,CIVIL,18,32,45,14,34,23,7,35,29,44,23,43,33,15,7,39,45
Rahul Gupta,AIDS,93,81,70,88,98,89,67,89,74,96,91,96,89,99,57,62,97
Ansh Sharma,EEE,67,53,55,51,69,69,77,53,71,80,68,59,83,92,64,57,85
Anirudh Sinha,ECE,74,88,63,56,84,52,61,74,56,58,85,55,52,58,80,82,80
Harsh Verma,AIDS,59,98,52,92,86,74,100,75,58,87,62,78,59,59,71,95,99
Raj Mehra,CIVIL,50,59,96,63,97,76,74,85,65,62,69,100,63,89,99,85,92
Siddharth Agarwal,MECH,59,69,85,63,54,63,56,74,85,71,78,97,97,62,80,98,88
Karan Reddy,AIDS,44,16,42,34,48,17,40,15,37,33,21,42,23,23,31,45,0
Dhruv Mehra,MECH,80,75,96,69,82,60,58,68,95,82,87,63,73,85,81,90,87
Rohan Yadav,ECE,65,66,59,89,83,53,87,67,92,65,82,98,78,97,86,54,80
Siddharth Jha,CIVIL,89,60,89,84,96,54,69,65,71,77,98,95,84,63,73,75,84
Aarav Sharma,CSE,77,76,94,55,98,78,50,63,51,94,95,92,80,77,84,76,89
Siddharth Bansal,EEE,85,89,94,99,56,87,66,51,56,70,61,63,64,92,58,51,81
Shivam Deshmukh,CIVIL,63,54,98,72,86,60,70,68,71,92,81,66,71,93,64,96,81
Mayank Singh,MECH,38,25,29,3,41,26,26,13,44,21,28,11,9,7,10,13,24
Samarth Patel,MECH,75,54,95,90,99,73,55,54,85,75,60,82,94,57,56,97,95
Akhil Deshmukh,AIDS,75,73,62,90,68,74,70,71,77,68,59,69,78,89,52,79,94
Shreyas Yadav,CIVIL,64,52,91,76,75,57,56,97,68,85,61,56,79,81,59,68,97
Aarush Bansal,MECH,74,91,52,62,77,50,50,63,75,82,81,79,98,60,95,94,98
Atharva Saxena,MECH,82,86,82,72,59,59,80,54,58,52,69,76,64,55,81,65,96
Anish Agarwal,ECE,82,91,79,67,63,97,68,83,90,100,89,72,86,70,52,88,86
Vikram Singh,AIDS,11,3,19,7,44,22,43,0,24,26,25,4,3,33,49,7,52
Krish Deshmukh,MECH,75,68,52,94,84,81,98,56,62,65,84,73,84,53,88,73,89
Anish Jha,CSE,93,94,59,96,77,64,87,66,67,79,88,100,91,85,75,52,94
Arjun Gupta,AIDS,88,68,79,87,94,95,96,52,57,91,78,76,52,50,84,58,80
Kabir Sharma,MECH,95,78,50,63,83,82,94,98,56,59,82,80,82,59,98,64,96
Vedant Agarwal,CIVIL,59,50,65,81,71,88,56,94,87,80,83,86,57,80,82,52,80
Rahul Varma,CIVIL,96,85,67,64,87,61,65,98,58,77,74,72,52,69,74,62,90
Utkarsh Patel,CSE,22,19,48,15,33,24,9,35,30,23,4,4,37,49,5,22,51
Shreyas Singh,ECE,52,64,98,52,80,94,94,70,63,70,66,66,58,76,84,99,90
Manav Gupta,MECH,80,74,63,100,65,91,78,92,63,87,57,56,50,64,92,86,88
Samarth Sinha,MECH,94,68,83,60,62,70,96,70,84,70,54,77,73,95,60,91,96
Ayush Kapoor,EEE,77,79,83,92,70,90,55,68,54,88,64,89,65,66,54,97,96
Pranav Tiwari,EEE,71,97,50,95,74,70,59,81,54,61,84,55,72,59,77,53,100
Rishi Verma,CSE,63,82,52,63,53,89,69,56,98,62,84,85,92,61,56,86,84
Krish Singh,EEE,9,42,6,36,39,21,14,32,40,10,35,20,48,4,19,39,6
Arjun Chopra,MECH,73,53,85,84,98,95,100,50,100,86,59,65,53,52,52,54,93
Pranav Jha,MECH,62,59,62,64,93,69,82,66,87,70,60,69,65,99,56,55,94
Ayush Tiwari,MECH,65,50,78,54,65,59,80,69,64,82,67,77,71,77,99,85,91
Aniket Mehra,CIVIL,85,96,71,90,82,64,53,62,89,88,50,50,63,97,82,53,98
Aman Sinha,CIVIL,94,74,96,89,59,92,82,93,59,75,66,50,86,72,54,55,99
Kabir Singh,ECE,82,73,53,92,63,58,86,83,68,82,95,52,68,98,69,81,88
Atharva Sinha,CIVIL,0,8,47,2,39,24,45,22,42,34,30,16,4,26,0,14,68
Aditya Yadav,AIDS,85,55,88,60,57,84,54,73,90,97,53,86,79,86,93,72,100
Aarush Jha,MECH,59,67,67,98,80,72,97,64,82,95,56,59,67,95,69,99,87
Siddharth Yadav,EEE,78,83,87,84,88,67,74,85,88,59,74,70,55,73,84,52,87
Aarush Singh,CIVIL,61,99,77,70,63,99,76,97,55,71,68,73,65,98,55,60,87
Vedant Singh,EEE,90,85,58,84,55,78,72,58,81,100,50,91,99,93,61,57,80
Kabir Singh,CIVIL,52,64,73,69,61,65,76,87,57,69,51,68,55,80,65,64,97
Siddharth Tiwari,ECE,16,48,20,31,25,10,0,45,31,5,29,37,26,12,43,45,53
Mayank Sharma,CIVIL,95,73,91,73,100,67,77,93,71,80,71,70,95,86,55,74,83
Karan Mehra,CIVIL,87,60,86,82,70,59,77,60,82,71,84,94,61,77,90,78,98
Harsh Chopra,EEE,59,61,86,79,96,53,57,87,78,68,65,76,92,54,87,93,94
Ayush Sinha,EEE,83,79,65,51,63,58,99,70,94,70,100,92,56,96,90,89,95
Ansh Reddy,MECH,80,100,63,81,67,73,62,51,95,77,59,58,93,78,64,51,98
Kabir Deshmukh,CIVIL,67,99,51,83,74,71,61,89,61,57,70,84,77,69,98,80,92
Aarav Jha,EEE,29,1,21,31,3,45,48,45,20,26,41,26,33,8,33,43,54
Rishi Patel,MECH,57,77,66,88,69,70,74,69,75,89,71,67,68,89,90,97,100
Krish Sinha,CSE,86,74,66,70,61,90,73,57,53,66,79,55,77,73,91,90,100
Rohan Yadav,CIVIL,57,76,89,69,55,76,56,69,69,87,96,92,66,90,52,79,95
Karan Sinha,CIVIL,92,59,58,66,59,81,73,62,67,93,67,76,66,95,91,57,85
Advait Verma,AIDS,88,61,63,99,84,89,80,89,68,85,75,57,51,100,93,65,86
Kabir Sharma,AIDS,96,99,93,87,73,53,95,57,86,80,96,53,75,97,100,88,91
Anirudh Sinha,CIVIL,32,14,37,3,36,16,15,18,6,9,3,29,38,2,20,26,21
Aarav Tiwari,MECH,68,67,78,71,82,97,55,95,92,76,82,84,55,98,91,93,83
Aman Chopra,MECH,64,59,78,56,92,53,67,85,52,82,58,57,81,54,93,57,88
Ansh Reddy,AIDS,91,52,97,52,70,81,62,54,81,50,77,91,86,77,66,93,98
Dhruv Tiwari,MECH,77,69,65,78,62,62,90,67,60,76,71,64,56,70,71,72,100
Akhil Sinha,AIDS,89,75,57,93,91,71,66,86,69,62,60,50,90,82,50,60,96
Ishaan Chopra,MECH,98,53,51,93,66,56,82,56,64,97,86,64,78,99,61,67,82
Samarth Sinha,MECH,12,13,17,7,25,25,0,15,0,3,35,38,18,25,4,44,41
Mayank Jha,CIVIL,64,54,61,63,68,88,55,50,76,98,64,71,80,66,62,94,95
Rohan Mehra,ECE,83,85,51,60,69,80,57,98,95,80,56,67,69,94,84,80,82
Aarush Tiwari,MECH,84,100,68,64,52,65,94,62,69,83,78,94,90,88,88,81,87
Mohit Saxena,ECE,82,75,59,74,86,91,62,87,88,63,57,66,59,68,86,61,90
Rahul Saxena,CSE,72,89,99,69,53,88,56,64,70,93,81,93,60,100,82,89,80
Rohan Deshmukh,CIVIL,84,55,59,76,69,69,54,86,55,81,64,54,67,67,55,75,86
Anirudh Reddy,EEE,35,32,47,22,33,37,46,29,17,42,32,20,42,35,32,8,73
Dhruv Verma,CIVIL,93,80,100,73,72,56,90,54,79,53,89,76,81,91,60,53,89
Sahil Yadav,ECE,53,55,61,68,69,72,60,73,98,80,82,85,50,69,59,95,97
Aarush Kapoor,AIDS,94,87,77,72,84,92,80,93,90,82,100,53,51,81,68,59,96
Raj Agarwal,CIVIL,96,100,68,63,72,70,72,53,55,64,78,98,58,71,53,87,94
Siddharth Agarwal,ECE,60,50,50,72,61,96,65,52,93,64,89,88,74,75,97,68,100
Yash Patel,ECE,79,72,52,82,92,72,98,52,86,74,51,95,70,87,52,92,94
Rohan Agarwal,ECE,6,15,39,4,19,43,33,5,14,24,20,14,43,36,23,14,19
Samarth Singh,CIVIL,95,87,51,83,78,93,77,63,87,85,92,78,54,80,74,84,88
Aarush Varma,MECH,64,56,87,70,69,86,95,86,60,77,86,77,66,67,67,97,89
Karan Patel,CIVIL,84,99,87,59,94,56,81,93,57,65,50,59,99,61,93,76,84
Aman Jha,EEE,84,57,71,73,88,66,63,53,100,60,98,61,88,50,80,68,80
Ansh Jha,EEE,68,99,92,97,89,78,87,73,77,50,67,78,89,55,60,62,84
Mayank Reddy,AIDS,69,94,76,59,56,57,57,85,54,75,55,94,60,60,75,90,93
Rishi Chopra,MECH,45,28,43,44,9,15,17,49,42,10,49,3,5,23,21,31,65
Divyansh Saxena,CIVIL,97,100,53,76,88,69,71,72,92,75,52,56,96,95,80,77,93
Sahil Kapoor,ECE,83,67,76,71,98,68,52,89,69,71,81,54,53,79,50,66,94
Rishi Yadav,CIVIL,67,62,80,77,57,82,51,59,73,61,80,86,79,98,57,66,92
Sahil Sharma,ECE,98,95,89,77,78,79,94,72,68,94,71,99,83,69,99,71,94
